c1.diseaseId	c1.name	c1.STY	c1.MESH	c1.OMIM	c1.type	c2.geneId	c2.symbol	c2.uniprotId	c2.description	c2.DPI	c2.DSI	c2.pantherName	c0.score	c0.EI	c0.Npmids	c0.Nsnps
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	152789	JAKMIP1	Q96N16	janus kinase and microtubule interacting protein 1	0.071	0.889	null	0.28	NA	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	5649	RELN	P78509	reelin	0.679	0.546	null	0.232791444172737	0.926	28	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	57502	NLGN4X	Q8N0W4	neuroligin 4, X-linked	0.321	0.714	hydrolase	0.229509078139497	0.88	28	2
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	5021	OXTR	P30559	oxytocin receptor	0.536	0.556	receptor	0.226333612041215	0.941	23	2
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	3356	HTR2A	P28223	5-hydroxytryptamine receptor 2A	0.75	0.454	receptor	0.224186954924823	1.0	15	1
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	8604	SLC25A12	O75746	solute carrier family 25 member 12	0.321	0.676	transfer/carrier protein; transporter; calcium-binding protein; nucleic acid binding	0.220420647857786	0.846	16	2
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	2898	GRIK2	Q13002	glutamate ionotropic receptor kainate type subunit 2	0.464	0.612	transporter; receptor	0.220299392545511	1.0	10	1
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	54413	NLGN3	Q9NZ94	neuroligin 3	0.25	0.734	hydrolase	0.218782056909492	0.952	23	1
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	4233	MET	P08581	MET proto-oncogene, receptor tyrosine kinase	0.786	0.416	null	0.218614230060237	1.0	16	1
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	5020	OXT	P01178	oxytocin/neurophysin I prepropeptide	0.679	0.523	signaling molecule	0.217096894424218	1.0	32	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	3690	ITGB3	P05106	integrin subunit beta 3	0.821	0.448	cell adhesion molecule; extracellular matrix protein; receptor	0.217017026512271	1.0	8	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	627	BDNF	P23560	brain derived neurotrophic factor	0.821	0.369	signaling molecule	0.21560659081121	1.0	16	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	121278	TPH2	Q8IWU9	tryptophan hydroxylase 2	0.679	0.527	null	0.21554107827658	1.0	7	2
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	552	AVPR1A	P37288	arginine vasopressin receptor 1A	0.464	0.648	receptor	0.214884724773196	1.0	9	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	3123	HLA-DRB1	P01911;P01912;P04229;P13760;P13761;P20039;Q29974;Q30134;Q30167;Q5Y7A7;Q95IE3;Q9GIY3;Q9TQE0	major histocompatibility complex, class II, DR beta 1	0.964	0.317	defense/immunity protein	0.211327631955743	1.0	8	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	4524	MTHFR	P42898	methylenetetrahydrofolate reductase	0.964	0.325	transferase; oxidoreductase; lyase	0.211001748014218	1.0	6	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	2558	GABRA5	P31644	gamma-aminobutyric acid type A receptor alpha5 subunit	0.286	0.714	transporter; receptor	0.210503451603104	1.0	6	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	3198	HOXA1	P49639	homeobox A1	0.643	0.598	transcription factor; nucleic acid binding	0.210019510569308	0.889	11	1
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	100	ADA	P00813	adenosine deaminase	0.857	0.465	hydrolase	0.208645876648242	1.0	4	1
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	57194	ATP10A	O60312	ATPase phospholipid transporting 10A (putative)	0.286	0.741	transporter; hydrolase	0.208645876648242	1.0	5	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	93986	FOXP2	O15409	forkhead box P2	0.536	0.584	transcription factor; nucleic acid binding	0.208385505241346	0.923	14	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	22871	NLGN1	Q8N2Q7	neuroligin 1	0.357	0.709	hydrolase	0.208371149864029	1.0	6	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	3676	ITGA4	P13612	integrin subunit alpha 4	0.714	0.578	null	0.208045265922503	1.0	4	2
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	2557	GABRA4	P48169	gamma-aminobutyric acid type A receptor alpha4 subunit	0.143	0.75	transporter; receptor	0.208045265922503	1.0	4	5
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	154	ADRB2	P07550	adrenoceptor beta 2	0.893	0.424	receptor	0.207821696295603	1.0	2	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	7472	WNT2	P09544	Wnt family member 2	0.607	0.598	signaling molecule	0.207063028477593	0.714	7	5
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	2739	GLO1	Q04760	glyoxalase I	0.679	0.575	null	0.206462417751855	1.0	6	2
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	9732	DOCK4	Q8N1I0	dedicator of cytokinesis 4	0.286	0.703	enzyme modulator	0.206187690967642	0.8	5	1
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	22941	SHANK2	Q9UPX8	SH3 and multiple ankyrin repeat domains 2	0.179	0.684	null	0.206187690967642	1.0	7	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	438	ASMT	P46597	acetylserotonin O-methyltransferase	0.286	0.714	transferase	0.205964121340741	1.0	5	1
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	367	AR	P10275	androgen receptor	0.857	0.358	transcription factor; receptor; nucleic acid binding	0.205912964183428	1.0	5	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	1746	DLX2	Q07687	distal-less homeobox 2	0.357	0.684	transcription factor; nucleic acid binding	0.205689394556528	1.0	2	1
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	2944	GSTM1	P09488	glutathione S-transferase mu 1	1	0.357	null	0.205689394556528	1.0	2	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	3105	HLA-A	P01891;P01892;P04439;P05534;P10314;P10316;P13746;P16188;P16189;P16190;P18462;P30443;P30447;P30450;P30453;P30455;P30456;P30457...	major histocompatibility complex, class I, A	0.893	0.369	defense/immunity protein; receptor	0.205689394556528	1.0	3	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	1139	CHRNA7	P36544;Q494W8	cholinergic receptor nicotinic alpha 7 subunit	0.607	0.555	transporter; receptor	0.205689394556528	1.0	4	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	4139	MARK1	Q9P0L2	microtubule affinity regulating kinase 1	0.393	0.714	transferase; kinase	0.205689394556528	1.0	2	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	1812	DRD1	P21728	dopamine receptor D1	0.5	0.529	receptor	0.205414667772315	1.0	2	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	116987	AGAP1	Q9UPQ3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	0.036	1	enzyme modulator; nucleic acid binding	0.205414667772315	1.0	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	2918	GRM8	O00222	glutamate metabotropic receptor 8	0.321	0.645	receptor	0.205414667772315	0.0	2	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	1745	DLX1	P56177	distal-less homeobox 1	0.286	0.741	transcription factor; nucleic acid binding	0.205414667772315	1.0	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	1312	COMT	P21964	catechol-O-methyltransferase	0.929	0.378	transferase	0.205363510615002	1.0	5	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	5743	PTGS2	P35354	prostaglandin-endoperoxide synthase 2	0.893	0.332	oxidoreductase	0.205139940988102	NA	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	324	APC	P25054	APC, WNT signaling pathway regulator	0.857	0.39	null	0.205139940988102	NA	2	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	4843	NOS2	P35228	nitric oxide synthase 2	0.964	0.383	null	0.204879569581206	1.0	10	1
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	5053	PAH	P00439	phenylalanine hydroxylase	0.571	0.514	null	0.204814057046576	NA	2	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	9228	DLGAP2	Q9P1A6	DLG associated protein 2	0.143	0.819	transmembrane receptor regulatory/adaptor protein	0.204814057046576	NA	2	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	2555	GABRA2	P47869	gamma-aminobutyric acid type A receptor alpha2 subunit	0.214	0.621	transporter; receptor	0.204814057046576	NA	3	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	27185	DISC1	Q9NRI5	disrupted in schizophrenia 1	0.464	0.572	null	0.204655999954305	1.0	7	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	4763	NF1	P21359	neurofibromin 1	0.786	0.434	enzyme modulator	0.204055389228567	1.0	6	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	100188832	AUTS1	null	Autism, susceptibility to, 1	0.143	0.86	null	0.203846174978983	0.857	14	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	596	BCL2	P10415	BCL2, apoptosis regulator	0.893	0.311	signaling molecule	0.203831819601666	1.0	4	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	9037	SEMA5A	Q13591	semaphorin 5A	0.429	0.608	signaling molecule	0.203831819601666	1.0	4	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	2571	GAD1	Q99259	glutamate decarboxylase 1	0.714	0.511	lyase	0.203780662444353	1.0	5	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	6343	SCT	P09683	secretin	0.607	0.524	null	0.203557092817453	0.667	7	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	54806	AHI1	Q8N157	Abelson helper integration site 1	0.714	0.528	enzyme modulator; hydrolase; nucleic acid binding	0.20350593566014	1.0	4	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	721	C4B	P0C0L4;P0C0L5	complement C4B (Chido blood group)	0.821	0.608	defense/immunity protein; signaling molecule; enzyme modulator	0.20350593566014	0.5	6	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	152330	CNTN4	Q8IWV2	contactin 4	0.321	0.676	cell adhesion molecule; phosphatase; hydrolase; defense/immunity protein; receptor	0.20350593566014	1.0	6	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	94313	AUTS5	null	Autism, susceptibility to, 5	0.036	1	null	0.203231208875927	1.0	3	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	5579	PRKCB	P05771	protein kinase C beta	0.643	0.566	transfer/carrier protein; transferase; calcium-binding protein; kinase	0.203231208875927	0.667	4	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	1814	DRD3	P35462	dopamine receptor D3	0.571	0.512	receptor	0.203231208875927	1.0	5	1
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	83943	IMMP2L	Q96T52	inner mitochondrial membrane peptidase subunit 2	0.357	0.714	protease; hydrolase	0.203231208875927	1.0	3	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	1959	EGR2	P11161	early growth response 2	0.643	0.539	null	0.203007639249027	1.0	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	221035	REEP3	Q6NUK4	receptor accessory protein 3	0.071	0.93	transporter; receptor	0.203007639249027	1.0	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	221037	JMJD1C	Q15652	jumonji domain containing 1C	0.536	0.68	transcription factor	0.203007639249027	1.0	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	7328	UBE2H	P62256	ubiquitin conjugating enzyme E2 H	0.179	0.889	null	0.203007639249027	1.0	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	6999	TDO2	P48775	tryptophan 2,3-dioxygenase	0.357	0.657	oxidoreductase	0.203007639249027	1.0	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	1719	DHFR	P00374	dihydrofolate reductase	0.821	0.493	oxidoreductase	0.203007639249027	1.0	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	5617	PRL	P01236	prolactin	0.821	0.451	signaling molecule	0.202956482091714	1.0	3	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	6804	STX1A	Q16623	syntaxin 1A	0.679	0.598	membrane traffic protein	0.202956482091714	1.0	2	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	6134	RPL10	P27635	ribosomal protein L10	0.679	0.593	nucleic acid binding	0.202956482091714	1.0	3	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	8128	ST8SIA2	Q92186	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2	0.393	0.703	null	0.202956482091714	1.0	3	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	139411	PTCHD1	Q96NR3	patched domain containing 1	0.179	0.758	receptor	0.202956482091714	1.0	3	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	3265	HRAS	P01112	HRas proto-oncogene, GTPase	0.857	0.378	enzyme modulator	0.202956482091714	1.0	2	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	9968	MED12	Q93074	mediator complex subunit 12	0.679	0.446	transcription factor; nucleic acid binding	0.202956482091714	0.5	2	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	8831	SYNGAP1	Q96PV0	synaptic Ras GTPase activating protein 1	0.286	0.636	enzyme modulator	0.202956482091714	1.0	3	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	26053	AUTS2	Q8WXX7	AUTS2, activator of transcription and developmental regulator	0.429	0.61	null	0.202747267842131	1.0	10	1
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	23705	CADM1	Q9BY67	cell adhesion molecule 1	0.643	0.524	null	0.202732912464814	NA	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	2697	GJA1	P17302	gap junction protein alpha 1	0.857	0.377	cell junction protein	0.202732912464814	NA	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	5175	PECAM1	P16284	platelet and endothelial cell adhesion molecule 1	0.786	0.461	cell adhesion molecule	0.202732912464814	NA	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	4282	MIF	P14174	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	0.857	0.448	null	0.202732912464814	NA	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	361	AQP4	P55087	aquaporin 4	0.679	0.523	transporter	0.202732912464814	NA	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	1137	CHRNA4	P43681	cholinergic receptor nicotinic alpha 4 subunit	0.679	0.523	transporter; receptor	0.202732912464814	NA	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	40	ASIC2	Q16515	acid sensing ion channel subunit 2	0.214	0.714	transporter	0.202681755307501	1.0	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	3927	LASP1	Q14847	LIM and SH3 protein 1	0.429	0.616	null	0.202681755307501	1.0	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	54538	ROBO4	Q8WZ75	roundabout guidance receptor 4	0.429	0.709	cell adhesion molecule; phosphatase; hydrolase; defense/immunity protein; receptor	0.202681755307501	1.0	1	1
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	4915	NTRK2	Q16620	neurotrophic receptor tyrosine kinase 2	0.607	0.519	null	0.202681755307501	1.0	2	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	18	ABAT	P80404	4-aminobutyrate aminotransferase	0.357	0.631	transferase	0.202681755307501	1.0	2	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	27347	STK39	Q9UEW8	serine/threonine kinase 39	0.536	0.709	null	0.202681755307501	1.0	1	1
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	26470	SEZ6L2	Q6UXD5	seizure related 6 homolog like 2	0.357	0.714	null	0.202681755307501	1.0	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	27044	SND1	Q7KZF4	staphylococcal nuclease and tudor domain containing 1	0.393	0.648	transcription factor; nucleic acid binding	0.202681755307501	1.0	1	1
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	5187	PER1	O15534	period circadian clock 1	0.714	0.578	transcription factor	0.202681755307501	1.0	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	4129	MAOB	P27338	monoamine oxidase B	0.679	0.565	transferase; oxidoreductase; nucleic acid binding	0.202681755307501	1.0	3	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	170572	HTR3C	Q8WXA8	5-hydroxytryptamine receptor 3C	0.25	0.75	transporter; receptor	0.202681755307501	1.0	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	4862	NPAS2	Q99743	neuronal PAS domain protein 2	0.464	0.645	transcription factor	0.202681755307501	1.0	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	3361	HTR5A	P47898	5-hydroxytryptamine receptor 5A	0.286	0.703	receptor	0.202681755307501	1.0	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	64221	ROBO3	Q96MS0	roundabout guidance receptor 3	0.714	0.558	cell adhesion molecule; phosphatase; hydrolase; defense/immunity protein; receptor	0.202681755307501	1.0	1	4
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	1588	CYP19A1	P11511	cytochrome P450 family 19 subfamily A member 1	0.821	0.451	oxidoreductase	0.202681755307501	1.0	2	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	3237	HOXD11	P31277	homeobox D11	0.393	0.693	transcription factor; nucleic acid binding	0.202681755307501	1.0	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	6507	SLC1A3	P43003	solute carrier family 1 member 3	0.571	0.608	transporter	0.202681755307501	1.0	3	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	3359	HTR3A	P46098	5-hydroxytryptamine receptor 3A	0.571	0.578	transporter; receptor	0.202681755307501	1.0	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	4642	MYO1D	O94832	myosin ID	0.071	0.889	cell junction protein; cytoskeletal protein; enzyme modulator	0.202681755307501	1.0	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	64324	NSD1	Q96L73	nuclear receptor binding SET domain protein 1	0.536	0.612	transferase; nucleic acid binding	0.202681755307501	1.0	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	6638	SNRPN	P63162;Q9Y675	small nuclear ribonucleoprotein polypeptide N	0.643	0.49	nucleic acid binding	0.202681755307501	1.0	2	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	6535	SLC6A8	P48029	solute carrier family 6 member 8	0.679	0.505	transporter	0.202681755307501	1.0	2	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	2876	GPX1	P07203	glutathione peroxidase 1	0.893	0.481	oxidoreductase	0.202681755307501	1.0	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	23078	VWA8	A3KMH1	von Willebrand factor A domain containing 8	0.107	0.779	null	0.202407028523288	NA	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	8912	CACNA1H	O95180	calcium voltage-gated channel subunit alpha1 H	0.321	0.714	transporter	0.202407028523288	NA	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	3351	HTR1B	P28222	5-hydroxytryptamine receptor 1B	0.464	0.546	receptor	0.202407028523288	NA	1	0
